    Time: 2018-3-23 13:33:02
D. C. Tsui Laboratory,  He3 System, A152-IOP-CAS
D:\Exp_data\xiaopei_sun\DATA\20180321\2018-03\2018-03\180323\180323.001
Experimenter: 
Sample:







     180323_001_Time	 180323_001_LI5640_X	 180323_001_K2612_Va	 180323_001_K2612_Ib	   180323_001_IPS120
   5.312000E+0	   7.366000E-6	  -4.000020E+0	   7.033350E-7	  -4.500000E-1
   5.566000E+0	   6.802000E-6	  -3.995940E+0	   7.748600E-7	  -4.500000E-1
   5.833000E+0	   6.346000E-6	  -3.992100E+0	   6.675720E-7	  -4.500000E-1
   6.083000E+0	   6.240000E-6	  -3.987890E+0	   4.768370E-7	  -4.500000E-1
   6.352000E+0	   6.411000E-6	  -3.983760E+0	   5.006790E-7	  -4.500000E-1
   6.601000E+0	   6.675000E-6	  -3.979960E+0	   4.529950E-7	  -4.500000E-1
   6.856000E+0	   6.928000E-6	  -3.975830E+0	   4.649160E-7	  -4.500000E-1
   7.319000E+0	   7.259000E-6	  -3.972010E+0	   3.814700E-7	  -4.500000E-1
   7.668000E+0	   7.394000E-6	  -3.967870E+0	   4.529950E-7	  -4.500000E-1
   7.915000E+0	   7.448000E-6	  -3.964090E+0	   5.245210E-7	  -4.500000E-1
   8.164000E+0	   7.481000E-6	  -3.959940E+0	   5.722050E-7	  -4.500000E-1
   8.407000E+0	   7.501000E-6	  -3.955790E+0	   5.126000E-7	  -4.500000E-1
   8.664000E+0	   7.514000E-6	  -3.951990E+0	   5.841260E-7	  -4.500000E-1
   8.904000E+0	   7.521000E-6	  -3.947850E+0	   4.410740E-7	  -4.500000E-1
   9.140000E+0	   7.523000E-6	  -3.944010E+0	   7.271770E-7	  -4.500000E-1
   9.385000E+0	   7.525000E-6	  -3.939910E+0	   5.245210E-7	  -4.500000E-1
   9.665000E+0	   7.527000E-6	  -3.935770E+0	   6.318090E-7	  -4.500000E-1
   9.926000E+0	   7.528000E-6	  -3.931970E+0	   5.960460E-7	  -4.500000E-1
   1.016600E+1	   7.529000E-6	  -3.927830E+0	   5.006790E-7	  -4.500000E-1
   1.044100E+1	   7.528000E-6	  -3.924020E+0	   4.887580E-7	  -4.500000E-1
   1.070400E+1	   7.526000E-6	  -3.919870E+0	   5.602840E-7	  -4.500000E-1
   1.095200E+1	   7.523000E-6	  -3.915720E+0	   5.245210E-7	  -4.500000E-1
   1.120500E+1	   7.523000E-6	  -3.911920E+0	   5.006790E-7	  -4.500000E-1
   1.145100E+1	   7.526000E-6	  -3.907850E+0	   6.198880E-7	  -4.500000E-1
   1.170600E+1	   7.531000E-6	  -3.904030E+0	   6.794930E-7	  -4.500000E-1
   1.196000E+1	   7.536000E-6	  -3.899880E+0	   5.602840E-7	  -4.500000E-1
   1.220800E+1	   7.539000E-6	  -3.895760E+0	   7.390980E-7	  -4.500000E-1
   1.246900E+1	   7.541000E-6	  -3.891940E+0	   6.318090E-7	  -4.500000E-1
   1.272900E+1	   7.539000E-6	  -3.887820E+0	   7.271770E-7	  -4.500000E-1
   1.297800E+1	   7.539000E-6	  -3.883990E+0	   7.271770E-7	  -4.500000E-1
   1.324100E+1	   7.541000E-6	  -3.879880E+0	   7.390980E-7	  -4.500000E-1
   1.348500E+1	   7.545000E-6	  -3.876060E+0	   6.437300E-7	  -4.500000E-1
   1.375600E+1	   7.553000E-6	  -3.871940E+0	   5.006790E-7	  -4.500000E-1
   1.402700E+1	   7.558000E-6	  -3.867780E+0	   6.437300E-7	  -4.500000E-1
   1.429700E+1	   7.560000E-6	  -3.863990E+0	   5.245210E-7	  -4.500000E-1
   1.457200E+1	   7.563000E-6	  -3.859860E+0	   3.814700E-7	  -4.500000E-1
   1.484300E+1	   7.564000E-6	  -3.856070E+0	   4.410740E-7	  -4.500000E-1
   1.510300E+1	   7.563000E-6	  -3.851920E+0	   5.722050E-7	  -4.500000E-1
   1.535800E+1	   7.561000E-6	  -3.847810E+0	   4.887580E-7	  -4.500000E-1
   1.561000E+1	   7.559000E-6	  -3.844000E+0	   4.291530E-7	  -4.500000E-1
   1.586400E+1	   7.558000E-6	  -3.839890E+0	   3.814700E-7	  -4.500000E-1
   1.609800E+1	   7.557000E-6	  -3.836080E+0	   5.483630E-7	  -4.500000E-1
   1.635000E+1	   7.558000E-6	  -3.831960E+0	   5.364420E-7	  -4.500000E-1
   1.658800E+1	   7.559000E-6	  -3.827840E+0	   5.006790E-7	  -4.500000E-1
   1.682200E+1	   7.560000E-6	  -3.823940E+0	   4.291530E-7	  -4.500000E-1
   1.707000E+1	   7.559000E-6	  -3.819840E+0	   3.457070E-7	  -4.500000E-1
   1.731400E+1	   7.557000E-6	  -3.816020E+0	   5.006790E-7	  -4.500000E-1
   1.756000E+1	   7.557000E-6	  -3.811920E+0	   2.741810E-7	  -4.500000E-1
   1.780800E+1	   7.557000E-6	  -3.807790E+0	   4.291530E-7	  -4.500000E-1
   1.804700E+1	   7.558000E-6	  -3.803970E+0	   2.741810E-7	  -4.500000E-1
   1.837600E+1	   7.558000E-6	  -3.799860E+0	   3.099440E-7	  -4.500000E-1
   1.862100E+1	   7.557000E-6	  -3.796040E+0	   2.861020E-7	  -4.500000E-1
   1.886300E+1	   7.557000E-6	  -3.791920E+0	   1.668930E-7	  -4.500000E-1
   1.910600E+1	   7.556000E-6	  -3.788090E+0	   4.053120E-7	  -4.500000E-1
   1.935300E+1	   7.556000E-6	  -3.783950E+0	   4.172330E-7	  -4.500000E-1
   1.958800E+1	   7.555000E-6	  -3.779810E+0	   2.026560E-7	  -4.500000E-1
   1.983700E+1	   7.556000E-6	  -3.775980E+0	   3.218650E-7	  -4.500000E-1
   2.007600E+1	   7.558000E-6	  -3.771850E+0	   1.311300E-7	  -4.500000E-1
   2.032300E+1	   7.561000E-6	  -3.768030E+0	   5.960460E-8	  -4.500000E-1
   2.056300E+1	   7.562000E-6	  -3.763900E+0	   9.536740E-8	  -4.500000E-1
   2.081500E+1	   7.564000E-6	  -3.759770E+0	   9.536740E-8	  -4.500000E-1
   2.105900E+1	   7.567000E-6	  -3.755960E+0	   1.430510E-7	  -4.500000E-1
