    Time: 2018-3-22 12:34:31
D. C. Tsui Laboratory,  He3 System, A152-IOP-CAS
D:\Exp_data\xiaopei_sun\DATA\20180321\2018-03\2018-03\180322\180322.002
Experimenter: 
Sample:







     180322_002_Time	 180322_002_LI5640_X	 180322_002_K2612_Va	 180322_002_K2612_Ib
   3.000000E-3	   6.636000E-6	  -5.745890E-4	   5.638600E-7
   4.100000E-2	   6.636000E-6	  -5.745890E-4	   5.531310E-7
   7.700000E-2	   6.636000E-6	  -5.745890E-4	   5.531310E-7
   1.140000E-1	   6.636000E-6	  -5.745890E-4	   5.531310E-7
   1.520000E-1	   6.635000E-6	  -5.745890E-4	   5.531310E-7
   1.960000E-1	   6.635000E-6	  -5.793570E-4	   5.531310E-7
   2.330000E-1	   6.635000E-6	  -5.793570E-4	   1.005430E-4
   2.710000E-1	   6.635000E-6	  -5.793570E-4	   1.005430E-4
   3.220000E-1	   6.635000E-6	  -5.507470E-4	   1.005430E-4
   3.600000E-1	   6.634000E-6	  -5.507470E-4	   2.005200E-4
   3.990000E-1	   6.634000E-6	  -5.507470E-4	   2.005200E-4
   4.490000E-1	   6.634000E-6	  -5.388260E-4	   2.005200E-4
   4.880000E-1	   6.634000E-6	  -5.388260E-4	   3.005810E-4
   5.250000E-1	   6.634000E-6	  -5.388260E-4	   3.005810E-4
   5.760000E-1	   6.634000E-6	  -5.483630E-4	   3.005810E-4
   6.150000E-1	   6.633000E-6	  -5.483630E-4	   4.005490E-4
   6.530000E-1	   6.633000E-6	  -5.483630E-4	   4.005490E-4
   7.030000E-1	   6.633000E-6	  -5.483630E-4	   4.005490E-4
   7.410000E-1	   6.632000E-6	  -5.483630E-4	   4.005490E-4
   7.820000E-1	   6.632000E-6	  -5.483630E-4	   5.005780E-4
   8.320000E-1	   6.632000E-6	  -5.912780E-4	   5.005780E-4
   8.700000E-1	   6.632000E-6	  -5.912780E-4	   6.005800E-4
   9.080000E-1	   6.632000E-6	  -5.912780E-4	   6.005800E-4
   9.590000E-1	   6.631000E-6	  -5.626680E-4	   6.005800E-4
   1.014000E+0	   6.631000E-6	  -5.626680E-4	   7.005870E-4
   1.049000E+0	   6.631000E-6	  -5.626680E-4	   7.005870E-4
   1.100000E+0	   6.631000E-6	  -5.960460E-4	   7.005870E-4
   1.139000E+0	   6.631000E-6	  -5.960460E-4	   8.005360E-4
   1.181000E+0	   6.631000E-6	  -5.960460E-4	   8.005360E-4
   1.231000E+0	   6.631000E-6	  -5.888940E-4	   8.005360E-4
   1.283000E+0	   6.632000E-6	  -5.888940E-4	   9.005440E-4
   1.321000E+0	   6.632000E-6	  -5.888940E-4	   9.005440E-4
   1.372000E+0	   6.632000E-6	  -5.507470E-4	   9.005440E-4
   1.411000E+0	   6.632000E-6	  -5.507470E-4	   1.000580E-3
   1.449000E+0	   6.632000E-6	  -5.507470E-4	   1.000580E-3
   1.499000E+0	   6.633000E-6	  -5.578990E-4	   1.000580E-3
   1.539000E+0	   6.633000E-6	  -5.578990E-4	   1.100650E-3
   1.576000E+0	   6.633000E-6	  -5.578990E-4	   1.100650E-3
   1.627000E+0	   6.634000E-6	  -5.316730E-4	   1.100650E-3
   1.681000E+0	   6.634000E-6	  -5.316730E-4	   1.200630E-3
   1.717000E+0	   6.635000E-6	  -5.316730E-4	   1.200630E-3
   1.770000E+0	   6.635000E-6	  -5.698200E-4	   1.200630E-3
   1.821000E+0	   6.636000E-6	  -5.698200E-4	   1.300600E-3
   1.858000E+0	   6.636000E-6	  -5.698200E-4	   1.300600E-3
   1.908000E+0	   6.637000E-6	  -5.555150E-4	   1.300600E-3
   1.975000E+0	   6.637000E-6	  -5.555150E-4	   1.400640E-3
   2.012000E+0	   6.638000E-6	  -5.555150E-4	   1.400640E-3
   2.064000E+0	   6.638000E-6	  -5.841260E-4	   1.400640E-3
   2.117000E+0	   6.639000E-6	  -5.841260E-4	   1.500840E-3
   2.154000E+0	   6.639000E-6	  -5.841260E-4	   1.500840E-3
   2.224000E+0	   6.640000E-6	  -5.674360E-4	   1.500840E-3
   2.264000E+0	   6.640000E-6	  -5.674360E-4	   1.600880E-3
   2.300000E+0	   6.640000E-6	  -5.674360E-4	   1.600880E-3
   2.351000E+0	   6.641000E-6	  -5.722050E-4	   1.600880E-3
   2.392000E+0	   6.641000E-6	  -5.722050E-4	   1.700870E-3
   2.427000E+0	   6.641000E-6	  -5.722050E-4	   1.700870E-3
   2.478000E+0	   6.641000E-6	  -5.817410E-4	   1.700870E-3
   2.518000E+0	   6.641000E-6	  -5.817410E-4	   1.800860E-3
   2.555000E+0	   6.642000E-6	  -5.817410E-4	   1.800860E-3
   2.606000E+0	   6.642000E-6	  -5.888940E-4	   1.800860E-3
   2.658000E+0	   6.642000E-6	  -5.888940E-4	   1.900880E-3
   2.694000E+0	   6.642000E-6	  -5.888940E-4	   1.900880E-3
   2.745000E+0	   6.642000E-6	  -5.936620E-4	   1.900880E-3
   2.784000E+0	   6.643000E-6	  -5.936620E-4	   2.000880E-3
   2.822000E+0	   6.643000E-6	  -5.936620E-4	   2.000880E-3
   2.872000E+0	   6.643000E-6	  -5.769730E-4	   2.000880E-3
   2.910000E+0	   6.643000E-6	  -5.769730E-4	   2.100900E-3
   2.949000E+0	   6.643000E-6	  -5.769730E-4	   2.100900E-3
   2.999000E+0	   6.644000E-6	  -6.008150E-4	   2.100900E-3
   3.039000E+0	   6.644000E-6	  -6.008150E-4	   2.200910E-3
   3.075000E+0	   6.644000E-6	  -5.483630E-4	   2.200910E-3
   3.113000E+0	   6.644000E-6	  -5.483630E-4	   2.300880E-3
   3.151000E+0	   6.644000E-6	  -5.483630E-4	   2.300880E-3
   3.207000E+0	   6.645000E-6	  -6.222720E-4	   2.300880E-3
   3.246000E+0	   6.645000E-6	  -6.222720E-4	   2.400880E-3
   3.283000E+0	   6.645000E-6	  -6.222720E-4	   2.400880E-3
   3.333000E+0	   6.645000E-6	  -5.888940E-4	   2.400880E-3
   3.388000E+0	   6.645000E-6	  -5.888940E-4	   2.500870E-3
   3.424000E+0	   6.645000E-6	  -5.888940E-4	   2.500870E-3
   3.475000E+0	   6.645000E-6	  -5.412100E-4	   2.500870E-3
   3.513000E+0	   6.645000E-6	  -5.412100E-4	   2.600910E-3
   3.551000E+0	   6.644000E-6	  -5.412100E-4	   2.600910E-3
   3.604000E+0	   6.644000E-6	  -5.626680E-4	   2.600910E-3
   3.655000E+0	   6.643000E-6	  -5.626680E-4	   2.700860E-3
   3.691000E+0	   6.643000E-6	  -5.626680E-4	   2.700860E-3
   3.742000E+0	   6.643000E-6	  -5.698200E-4	   2.700860E-3
   3.781000E+0	   6.642000E-6	  -5.698200E-4	   2.800890E-3
   3.819000E+0	   6.642000E-6	  -5.698200E-4	   2.800890E-3
