    Time: 2018-3-22 12:26:11
D. C. Tsui Laboratory,  He3 System, A152-IOP-CAS
D:\Exp_data\xiaopei_sun\DATA\20180321\2018-03\2018-03\180322\180322.001
Experimenter: 
Sample:







     180322_001_Time	 180322_001_LI5640_X	 180322_001_K2612_Va	 180322_001_K2612_Ib
   3.000000E-3	   6.810000E-6	   1.000030E+1	   5.745890E-7
   3.600000E-2	   6.810000E-6	   1.000030E+1	   5.745890E-7
   7.100000E-2	   6.810000E-6	   1.000030E+1	   5.745890E-7
   1.090000E-1	   6.810000E-6	   1.000030E+1	   5.745890E-7
   1.600000E-1	   6.810000E-6	   1.000030E+1	   5.745890E-7
   2.110000E-1	   6.811000E-6	   1.000030E+1	   5.745890E-7
   2.570000E-1	   6.811000E-6	   1.000030E+1	   5.519390E-7
   2.920000E-1	   6.811000E-6	   1.000030E+1	   5.519390E-7
   3.290000E-1	   6.811000E-6	   1.000030E+1	   5.519390E-7
   3.660000E-1	   6.812000E-6	   1.000030E+1	   5.519390E-7
   4.200000E-1	   6.812000E-6	   1.000040E+1	   5.519390E-7
   4.700000E-1	   6.812000E-6	   1.000040E+1	   6.103520E-7
   5.070000E-1	   6.812000E-6	   1.000040E+1	   6.103520E-7
   5.430000E-1	   6.813000E-6	   1.000040E+1	   6.103520E-7
   5.810000E-1	   6.813000E-6	   1.000040E+1	   6.103520E-7
   6.330000E-1	   6.813000E-6	   1.000040E+1	   6.103520E-7
   6.840000E-1	   6.813000E-6	   1.000040E+1	   6.103520E-7
   7.230000E-1	   6.813000E-6	   1.000040E+1	   5.924700E-7
   7.600000E-1	   6.813000E-6	   1.000040E+1	   5.924700E-7
   7.980000E-1	   6.813000E-6	   1.000040E+1	   5.924700E-7
   8.360000E-1	   6.813000E-6	   1.000040E+1	   5.924700E-7
   8.860000E-1	   6.813000E-6	   1.000040E+1	   5.924700E-7
   9.380000E-1	   6.813000E-6	   1.000040E+1	   5.924700E-7
   9.770000E-1	   6.813000E-6	   1.000040E+1	   5.531310E-7
   1.014000E+0	   6.813000E-6	   1.000040E+1	   5.531310E-7
   1.051000E+0	   6.813000E-6	   1.000040E+1	   5.531310E-7
   1.090000E+0	   6.813000E-6	   1.000040E+1	   5.531310E-7
   1.141000E+0	   6.813000E-6	   1.000040E+1	   5.531310E-7
   1.179000E+0	   6.813000E-6	   1.000040E+1	   5.531310E-7
   1.218000E+0	   6.814000E-6	   1.000040E+1	   5.829330E-7
   1.260000E+0	   6.814000E-6	   1.000040E+1	   5.829330E-7
   1.298000E+0	   6.814000E-6	   1.000040E+1	   5.829330E-7
   1.336000E+0	   6.814000E-6	   1.000040E+1	   5.829330E-7
   1.388000E+0	   6.814000E-6	   1.000040E+1	   5.829330E-7
   1.438000E+0	   6.814000E-6	   1.000040E+1	   5.459790E-7
   1.476000E+0	   6.814000E-6	   1.000040E+1	   5.459790E-7
   1.513000E+0	   6.814000E-6	   1.000040E+1	   5.459790E-7
   1.551000E+0	   6.815000E-6	   1.000040E+1	   5.459790E-7
   1.605000E+0	   6.815000E-6	   1.000040E+1	   5.459790E-7
   1.656000E+0	   6.815000E-6	   1.000040E+1	   5.686280E-7
   1.693000E+0	   6.815000E-6	   1.000040E+1	   5.686280E-7
   1.730000E+0	   6.816000E-6	   1.000040E+1	   5.686280E-7
   1.768000E+0	   6.816000E-6	   1.000040E+1	   5.686280E-7
   1.819000E+0	   6.816000E-6	   1.000040E+1	   5.686280E-7
   1.870000E+0	   6.816000E-6	   1.000040E+1	   5.686280E-7
   1.909000E+0	   6.816000E-6	   1.000040E+1	   5.757810E-7
   1.946000E+0	   6.816000E-6	   1.000040E+1	   5.757810E-7
   1.982000E+0	   6.816000E-6	   1.000040E+1	   5.757810E-7
   2.019000E+0	   6.816000E-6	   1.000040E+1	   5.757810E-7
   2.070000E+0	   6.816000E-6	   1.000040E+1	   5.757810E-7
   2.108000E+0	   6.816000E-6	   1.000040E+1	   5.543230E-7
   2.146000E+0	   6.816000E-6	   1.000040E+1	   5.543230E-7
   2.181000E+0	   6.816000E-6	   1.000040E+1	   5.543230E-7
   2.219000E+0	   6.816000E-6	   1.000040E+1	   5.543230E-7
   2.275000E+0	   6.816000E-6	   1.000040E+1	   5.543230E-7
   2.326000E+0	   6.816000E-6	   1.000040E+1	   5.900860E-7
   2.364000E+0	   6.816000E-6	   1.000040E+1	   5.900860E-7
   2.400000E+0	   6.815000E-6	   1.000040E+1	   5.900860E-7
   2.439000E+0	   6.815000E-6	   1.000040E+1	   5.900860E-7
   2.489000E+0	   6.815000E-6	   1.000040E+1	   5.900860E-7
   2.528000E+0	   6.814000E-6	   1.000040E+1	   5.900860E-7
   2.580000E+0	   6.814000E-6	   1.000040E+1	   5.865100E-7
   2.616000E+0	   6.814000E-6	   1.000040E+1	   5.865100E-7
   2.653000E+0	   6.814000E-6	   1.000040E+1	   5.865100E-7
