    Time: 2018-3-23 13:37:27
D. C. Tsui Laboratory,  He3 System, A152-IOP-CAS
D:\Exp_data\xiaopei_sun\DATA\20180321\2018-03\2018-03\180323\180323.003
Experimenter: 
Sample:







     180323_003_Time	 180323_003_LI5640_X	 180323_003_K2612_Va	 180323_003_K2612_Ib	   180323_003_IPS120
   5.334000E+0	   7.563000E-6	  -3.999960E+0	   6.079670E-7	  -4.500000E-1
   5.599000E+0	   7.563000E-6	  -3.995800E+0	   6.318090E-7	  -4.500000E-1
   5.850000E+0	   7.562000E-6	  -3.992000E+0	   5.602840E-7	  -4.500000E-1
   6.111000E+0	   7.560000E-6	  -3.987790E+0	   4.887580E-7	  -4.500000E-1
   6.368000E+0	   7.558000E-6	  -3.983670E+0	   4.529950E-7	  -4.500000E-1
   6.624000E+0	   7.556000E-6	  -3.979850E+0	   4.887580E-7	  -4.500000E-1
   6.884000E+0	   7.556000E-6	  -3.975720E+0	   5.245210E-7	  -4.500000E-1
   7.132000E+0	   7.557000E-6	  -3.971940E+0	   5.126000E-7	  -4.500000E-1
   7.386000E+0	   7.560000E-6	  -3.967830E+0	   3.933910E-7	  -4.500000E-1
   7.650000E+0	   7.564000E-6	  -3.963980E+0	   2.503400E-7	  -4.500000E-1
   7.913000E+0	   7.567000E-6	  -3.959820E+0	   4.768370E-7	  -4.500000E-1
   8.168000E+0	   7.568000E-6	  -3.955700E+0	   3.218650E-7	  -4.500000E-1
   8.428000E+0	   7.565000E-6	  -3.951900E+0	   3.814700E-7	  -4.500000E-1
   8.683000E+0	   7.560000E-6	  -3.947770E+0	   3.576280E-7	  -4.500000E-1
   8.939000E+0	   7.557000E-6	  -3.943950E+0	   2.980230E-7	  -4.500000E-1
   9.183000E+0	   7.556000E-6	  -3.939820E+0	   2.861020E-7	  -4.500000E-1
   9.439000E+0	   7.557000E-6	  -3.935660E+0	   3.099440E-7	  -4.500000E-1
   9.687000E+0	   7.558000E-6	  -3.931860E+0	   2.384190E-7	  -4.500000E-1
   9.938000E+0	   7.557000E-6	  -3.927750E+0	   3.576280E-7	  -4.500000E-1
   1.019400E+1	   7.557000E-6	  -3.923910E+0	   3.576280E-7	  -4.500000E-1
   1.044900E+1	   7.558000E-6	  -3.919820E+0	   4.649160E-7	  -4.500000E-1
   1.069600E+1	   7.560000E-6	  -3.915710E+0	   5.722050E-7	  -4.500000E-1
   1.094800E+1	   7.562000E-6	  -3.911870E+0	   5.722050E-7	  -4.500000E-1
   1.120600E+1	   7.563000E-6	  -3.907770E+0	   6.318090E-7	  -4.500000E-1
   1.146100E+1	   7.562000E-6	  -3.903970E+0	   5.245210E-7	  -4.500000E-1
   1.178800E+1	   7.562000E-6	  -3.899870E+0	   4.649160E-7	  -4.500000E-1
   1.204200E+1	   7.562000E-6	  -3.895750E+0	   4.291530E-7	  -4.500000E-1
   1.229300E+1	   7.563000E-6	  -3.891960E+0	   3.099440E-7	  -4.500000E-1
   1.255200E+1	   7.563000E-6	  -3.887820E+0	   5.245210E-7	  -4.500000E-1
   1.281100E+1	   7.563000E-6	  -3.884020E+0	   5.483630E-7	  -4.500000E-1
   1.306300E+1	   7.563000E-6	  -3.879890E+0	   6.318090E-7	  -4.500000E-1
   1.331900E+1	   7.562000E-6	  -3.876090E+0	   5.126000E-7	  -4.500000E-1
   1.357300E+1	   7.562000E-6	  -3.871940E+0	   4.172330E-7	  -4.500000E-1
